begin,open,high,low,close,volume
2023-02-03 00:00:00,159.1,162.32,157.88,161.26,63735330
2023-02-06 00:00:00,161.78,167.17,161.01,167.09,89083530
2023-02-07 00:00:00,167.3,168.7,163.4,165.39,92661570
2023-02-08 00:00:00,165.0,166.35,162.7,164.15,58669030
2023-02-09 00:00:00,164.33,167.47,161.27,165.31,107139220
2023-02-10 00:00:00,165.0,166.49,164.5,165.52,40924680
2023-02-13 00:00:00,165.2,166.88,164.17,164.32,36212200
2023-02-14 00:00:00,164.3,164.38,161.64,161.86,58832960
2023-02-15 00:00:00,160.94,161.12,153.83,156.25,113804160
2023-02-16 00:00:00,157.33,159.3,156.25,158.22,68549280
2023-02-17 00:00:00,158.0,160.38,156.91,159.73,52179940
2023-02-20 00:00:00,159.41,161.3,156.73,160.09,63971610
2023-02-21 00:00:00,160.66,165.65,159.26,164.15,127422480
2023-02-22 00:00:00,164.13,164.42,162.5,163.37,43772430
2023-02-24 00:00:00,163.33,165.5,163.1,164.3,37727230
2023-02-27 00:00:00,163.52,170.0,162.96,169.95,100133280
2023-02-28 00:00:00,170.5,171.92,168.37,169.82,80748140
2023-03-01 00:00:00,170.4,171.66,169.5,170.53,53784730
2023-03-02 00:00:00,170.4,170.4,166.55,168.05,86095640
2023-03-03 00:00:00,168.17,171.26,167.9,171.16,49566770
2023-03-06 00:00:00,172.14,172.99,171.35,171.84,64585290
2023-03-07 00:00:00,171.87,174.2,171.0,174.01,55287380
2023-03-09 00:00:00,174.85,174.89,172.21,172.55,80393110
2023-03-10 00:00:00,171.55,173.0,170.58,172.53,50256970
2023-03-13 00:00:00,172.5,173.9,169.26,172.15,74032280
2023-03-14 00:00:00,171.61,176.95,171.01,175.71,89325670
2023-03-15 00:00:00,176.0,177.37,173.59,175.3,79930290
2023-03-16 00:00:00,174.94,176.04,173.36,175.45,51534160
2023-03-17 00:00:00,183.0,193.66,178.56,193.59,388164850
2023-03-20 00:00:00,196.02,205.09,195.0,203.73,156714250
2023-03-21 00:00:00,204.76,208.0,201.25,203.32,122583960
2023-03-22 00:00:00,203.4,204.4,201.59,202.89,57568140
2023-03-23 00:00:00,202.53,204.2,202.22,202.58,26650230
2023-03-24 00:00:00,202.86,203.85,202.0,203.57,24325540
2023-03-27 00:00:00,204.01,213.2,204.01,211.84,101521380
2023-03-28 00:00:00,212.86,214.7,210.67,214.03,73901050
2023-03-29 00:00:00,214.85,219.53,213.6,217.99,96682530
2023-03-30 00:00:00,217.3,218.45,216.12,216.87,40886950
2023-03-31 00:00:00,217.2,217.35,211.3,216.6,88081360
2023-04-03 00:00:00,218.45,219.44,214.8,216.09,55175630
2023-04-04 00:00:00,216.2,217.29,213.8,214.83,45803380
2023-04-05 00:00:00,214.65,216.3,211.4,216.15,46177490
2023-04-06 00:00:00,216.3,217.38,214.07,214.25,39061450
2023-04-07 00:00:00,214.5,216.39,213.65,216.27,29198130
2023-04-10 00:00:00,217.1,222.26,216.61,222.21,85196000
2023-04-11 00:00:00,222.9,223.33,217.62,218.6,98538370
2023-04-12 00:00:00,218.6,219.7,216.67,219.22,44767540
2023-04-13 00:00:00,219.49,220.89,218.0,219.85,32672160
2023-04-14 00:00:00,220.0,222.5,218.51,221.87,43316040
2023-04-17 00:00:00,222.98,228.2,222.91,228.1,78797270
2023-04-18 00:00:00,227.89,232.76,227.05,232.66,97770120
2023-04-19 00:00:00,232.67,237.37,231.1,232.95,115713300
2023-04-20 00:00:00,233.32,236.47,229.84,236.28,85093750
2023-04-21 00:00:00,237.4,238.85,233.52,235.17,115905760
2023-04-24 00:00:00,235.07,236.4,234.1,235.1,30536770
2023-04-25 00:00:00,235.13,235.82,234.21,235.3,32187450
2023-04-26 00:00:00,235.6,235.95,234.91,235.21,24430320
2023-04-27 00:00:00,235.59,240.74,235.13,240.38,68311610
2023-04-28 00:00:00,240.9,241.58,237.66,240.38,49583350
2023-05-02 00:00:00,242.2,245.0,237.4,242.62,83957810
2023-05-03 00:00:00,242.85,242.99,234.0,235.77,76827180
2023-05-04 00:00:00,236.89,239.74,236.05,238.89,53079590
2023-05-05 00:00:00,239.24,240.66,237.3,237.7,61366140
2023-05-08 00:00:00,238.69,239.86,237.36,238.27,47865890
2023-05-10 00:00:00,216.5,227.5,215.7,227.06,156874740
2023-05-11 00:00:00,228.87,235.38,223.94,229.32,197302410
2023-05-12 00:00:00,231.0,232.47,226.15,229.29,70528170
2023-05-15 00:00:00,230.51,231.75,228.52,231.7,49090190
2023-05-16 00:00:00,232.4,232.86,229.57,230.62,36613690
2023-05-17 00:00:00,229.86,230.97,228.75,230.55,31770380
2023-05-18 00:00:00,231.7,234.49,230.72,231.7,56228190
2023-05-19 00:00:00,230.99,232.3,229.81,231.27,31639980
2023-05-22 00:00:00,232.2,232.78,230.0,231.0,26487190
